subject_length,message_length,num_words_subject,num_words_message,is_subject_missing,num_exclamations,num_questionmarks,num_dollarsign,exclamation_ratio,questionmark_ratio,dollarsign_ratio,num_number_dollar,num_percent,percent_ratio,num_digits,digit_ratio,num_urls,word_diversity,num_repeated_words,word_free,word_money,word_offer,word_win,word_click,word_buy,word_credit,word_investment,word_limited,word_guarantee,word_prize,word_porn,word_sex,word_loan,word_cash,word_winner,word_viagra,word_cheap,word_sale,word_billion,word_million,word_access,word_save,word_bonus,word_reward,word_gift,group_money_related,group_click_related,Spam/Ham
19,979,3,179,0,0,1,0,0.0,0.0010204081632653062,0.0,0,1,0.0010204081632653062,2,0.0020408163265306124,0,0.6277777777777778,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,32,4,5,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,356,2,66,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.7761194029850746,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,420,2,76,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.6883116883116883,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,465,5,93,0,0,2,0,0.0,0.004291845493562232,0.0,0,0,0.0,0,0.0,0,0.6382978723404256,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,277,2,50,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.6470588235294118,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,692,3,127,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.6328125,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1474,2,278,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.4050179211469534,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20,2556,3,472,0,2,0,0,0.0007821666014861165,0.0,0.0,0,0,0.0,0,0.0,0,0.4820295983086681,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,1602,2,282,0,1,0,0,0.0006238303181534623,0.0,0.0,0,0,0.0,0,0.0,0,0.5371024734982333,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,541,5,99,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.77,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,250,6,50,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.7450980392156863,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,507,3,97,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.7244897959183674,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,247,2,51,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.7307692307692307,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,433,2,89,0,0,1,0,0.0,0.002304147465437788,0.0,0,0,0.0,0,0.0,0,0.6888888888888889,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,153,5,23,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.9583333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,399,3,77,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.7307692307692307,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,253,6,47,0,0,0,1,0.0,0.0,0.003937007874015748,1,0,0.0,1,0.003937007874015748,0,0.7708333333333334,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
