subject_length,message_length,num_words_subject,num_words_message,is_subject_missing,num_exclamations,num_questionmarks,num_uppercase_words,num_digits,num_urls,word_free,word_money,word_offer,word_win,word_click,word_buy,word_urgent,word_credit,word_investment,word_limited,word_guarantee,word_prize,Spam/Ham
19,979,3,179,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,32,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,356,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,420,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,465,5,93,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,277,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,692,3,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1474,2,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2556,3,472,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,1602,2,282,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,541,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,250,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,507,3,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,247,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,433,2,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,153,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,399,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,253,6,47,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,208,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,97,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1000,3,203,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4,0
27,137,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1308,1,244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,1076,7,227,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,413,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2462,5,475,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,694,3,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,581,3,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,343,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,781,3,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,207,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
